ID,damon,ratan,shikhar,ClearMajority,SoftMajority,NoClearMajority
180967412592277,-1,-1,0,-1,-,-
1856576197978797,-2,-1,-1,-1,-,-
1854818081304750,-2,-1,-2,-2,-,-
1832441810394799,2,0,2,2,-,-
1886017268117175,2,0,1,-,1,-
1145881348886644,1,1,1,1,-,-
177018779651263,1,0,1,1,-,-
1657550710980293,-2,-1,-1,-1,-,-
1683708795082950,2,0,2,2,-,-
1822590641383623,0,0,0,0,-,-
165883700924616,1,1,1,1,-,-
1967156106642122,2,0,2,2,-,-
1852842174805203,2,0,1,-,1,-
180634612613468,2,0,1,-,1,-
1652015921587417,2,1,2,2,-,-
120988238717665,1,0,1,1,-,-
193594828143331,-2,-1,-2,-2,-,-
1676412625810148,0,0,1,0,-,-
196959227617510,2,1,1,1,-,-
192236508156647,-1,-1,-1,-1,-,-
1276264022509289,-1,1,-1,-1,-,-
1746684855438631,0,-1,-1,-1,-,-
196482977737042,-1,-1,-1,-1,-,-
1828621627175890,2,0,1,-,1,-
1494773170669296,-1,-1,-1,-1,-,-
1689771231072296,-2,-2,-2,-2,-,-
154154255442674,-2,-1,-2,-2,-,-
170074116997417,-1,-1,-2,-1,-,-
1786907064697300,1,1,1,1,-,-
178087876213631,0,0,1,0,-,-
1802349296545840,2,1,2,2,-,-
1800539066669313,1,0,1,1,-,-
191220781507843,2,0,1,-,1,-
1928297993897734,2,0,0,0,-,-
1718484148240139,0,0,1,0,-,-
1523081651133714,-2,-1,-2,-2,-,-
1335713289893651,1,0,1,1,-,-
1143088185830676,1,0,0,0,-,-
184012678913070,1,1,1,1,-,-
183136222386966,2,1,2,2,-,-
181837605813465,0,0,1,0,-,-
1983761748330265,2,1,1,1,-,-
193587218151195,2,0,1,-,1,-
1978900482140957,0,0,0,0,-,-
1962173333806366,2,0,1,-,1,-
1092105250954017,-1,0,-1,-1,-,-
1718983808196900,-2,-1,-2,-2,-,-
1672278109547815,2,0,1,-,1,-
198687304114825,-,1,-,1,-,-
1092435060912425,-1,-1,-1,-1,-,-
195293417793324,0,1,1,1,-,-
1895632567401776,0,1,-1,-,-,-1000
1856658571051059,2,1,2,2,-,-
184801738870580,-1,-1,1,-1,-,-
145241146194229,-2,-1,-2,-2,-,-
1344312472379529,2,2,2,2,-,-
185384618847544,2,1,1,1,-,-
1020042424827194,0,0,0,0,-,-
1582216451904316,-1,-1,-2,-1,-,-
1796879177286979,-1,-1,-2,-1,-,-
1707234536041796,-1,-1,-1,-1,-,-
192537501450806,2,0,0,0,-,-
167623377240902,-2,-1,-2,-2,-,-
1731855343598919,1,1,1,1,-,-
194585024567115,-2,-1,-1,-1,-,-
1566496046873420,-2,1,-2,-2,-,-
182542699072334,-2,0,-1,-,-1,-
1039645122849615,-1,1,0,-,-,-1000
132453360962897,2,1,1,1,-,-
174137470099794,-2,-1,-2,-2,-,-
1507246512714068,2,1,2,2,-,-
1949034708494165,1,1,-1,1,-,-
181903415831524,2,0,1,-,1,-
1786088208137050,2,1,1,1,-,-
1744517938957147,-2,-1,-2,-2,-,-
180604985944924,1,-1,-1,-1,-,-
1930536537184943,2,1,1,1,-,-
1651115858347874,2,1,1,1,-,-
117349932436324,-1,1,1,1,-,-
1860529140672362,1,1,1,1,-,-
197717694259943,2,0,1,-,1,-
1349636695180140,1,0,1,1,-,-
1579644782165357,0,0,0,0,-,-
1549039188728686,-2,0,-1,-,-1,-
1838123896257391,0,0,0,0,-,-
179446259594098,2,1,2,2,-,-
1939332006356852,2,0,0,0,-,-
179725939565431,-2,-1,-2,-2,-,-
1584710531656059,-2,-1,-2,-2,-,-
183139079042940,2,2,2,2,-,-
1946245748753278,0,0,1,0,-,-
1179468775527295,1,0,1,1,-,-
194630951247233,-2,-1,-,-1,-,-
1674907139223434,-2,-1,-2,-2,-,-
1792315324160404,-1,0,-1,-1,-,-
1858037391166869,2,1,1,1,-,-
163614214511940,2,0,0,0,-,-
182571749250461,-2,-1,0,-,-1,-
197288211122592,2,0,1,-,1,-
1707093969345957,1,1,1,1,-,-
161288321387430,-2,-1,-2,-2,-,-
1894604617287591,2,1,2,2,-,-
1883831401661767,2,0,0,0,-,-
178599843010802,-2,-1,-2,-2,-,-
160801988106672,-2,-1,-2,-2,-,-
1544400465665457,2,0,1,-,1,-
1843493982622643,1,0,0,0,-,-
1839853859385268,-1,-1,0,-1,-,-
1650991365018550,2,0,2,2,-,-
140267073510473,0,0,0,0,-,-
189240201922548,0,0,1,0,-,-
1789299881146308,2,1,2,2,-,-
1768984069849042,2,1,2,2,-,-
1452020118232532,2,-1,-1,-1,-,-
187499572076501,0,0,0,0,-,-
1981634381870039,-1,-1,-1,-1,-,-
1792770294135257,-1,-1,0,-1,-,-
1688983047883739,-2,-1,-2,-2,-,-
1050975305067484,0,-1,0,0,-,-
1971646249553373,-2,-1,-2,-2,-,-
194557174513573,-2,-1,-2,-2,-,-
1739140699533280,1,1,2,1,-,-
110113826519524,0,-1,-1,-1,-,-
1767894403288038,2,0,1,-,1,-
1139705206170600,2,1,1,1,-,-
197171934310983,2,1,2,2,-,-
1715132898602475,-2,-1,-2,-2,-,-
1726159080793068,0,0,0,0,-,-
1381969395280978,0,-1,0,0,-,-
176483156396014,2,0,1,-,1,-
187049678632943,2,0,1,-,1,-
1723449627744754,-1,-1,-1,-1,-,-
1199334900206067,2,2,2,2,-,-
140208533414388,1,0,0,0,-,-
1655343847915510,2,0,1,-,1,-
1405478829554167,0,0,0,0,-,-
1282389598558201,1,0,1,1,-,-
1840593179332602,-2,-1,-1,-1,-,-
1668474693207548,2,1,2,2,-,-
